company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd,id
"/company/ambx",amBX,software,GBR,,Middlesbrough,Middlesbrough,/financial-organization/northstar-ventures,Northstar Ventures,,GBR,,Newcastle,Newcastle upon Tyne,venture,2/14/11,2011-02,2011-Q1,2011.0,1120000.0,48227
"/company/acommerce",aCommerce,ecommerce,THA,,unknown,"Silom, Bankok",/financial-organization/ntt-docomo-ventures-2,NTT DOCOMO Ventures,,JPN,,Tokyo,Tokyo,venture,12/19/13,2013-12,2013-Q4,2013.0,3100000.0,48969
"/company/amee",amee,cleantech,GBR,,London,London,/financial-organization/o-reilly-alphatech-ventures,O'Reilly AlphaTech Ventures,,USA,CA,SF Bay,San Francisco,series-b,2/8/10,2010-02,2010-Q1,2010.0,5500000.0,49066
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/orbimed-advisors,OrbiMed Advisors,,USA,NY,New York,New York,series-b,12/1/11,2011-12,2011-Q4,2011.0,4.3849E7,49980
"/company/aisle411",aisle411,mobile,USA,MO,Saint Louis,St. Louis,/financial-organization/plug-and-play-ventures,Plug & Play Ventures,,USA,CA,SF Bay,Sunnyvale,series-a,9/4/13,2013-09,2013-Q3,2013.0,6500000.0,51991
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/pmv-vinnof,PMV-Vinnof,,,,unknown,,series-b,12/1/11,2011-12,2011-Q4,2011.0,4.3849E7,52031
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/polaris-partners,Polaris Partners,,USA,MA,Boston,Waltham,series-c+,9/15/09,2009-09,2009-Q3,2009.0,1.2E7,52190
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/polaris-partners,Polaris Partners,,USA,MA,Boston,Waltham,series-b,4/18/07,2007-04,2007-Q2,2007.0,1.05E7,52231
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/polaris-partners,Polaris Partners,,USA,MA,Boston,Waltham,series-c+,10/26/10,2010-10,2010-Q4,2010.0,2.3E7,52284
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/polaris-partners,Polaris Partners,,USA,MA,Boston,Waltham,series-c+,7/29/13,2013-07,2013-Q3,2013.0,4.9E7,52347
"/company/airpim-2",airpim,software,ITA,,Rovereto,Rovereto (TN),/financial-organization/provincia-autonoma-di-trento-italy,Provincia Autonoma di Trento (Italy),,ITA,,Trento,Trento,other,10/20/10,2010-10,2010-Q4,2010.0,659784.0,53072
"/company/atvenu",atVenu,software,USA,CA,SF Bay,Sausalito,/financial-organization/real-ventures,Real Ventures,,CAN,,Montreal,Montreal,angel,2/4/14,2014-02,2014-Q1,2014.0,1100000.0,53849
"/company/abeo",abeo,medical,USA,TX,Dallas,Dallas,/financial-organization/seed-capital,Seed Capital,,DNK,,Diplomvej,Diplomvej,venture,11/30/11,2011-11,2011-Q4,2011.0,2012700.0,56799
"/company/adbrite",adBrite,advertising,USA,CA,SF Bay,San Francisco,/financial-organization/sequoia-capital,Sequoia Capital,,USA,CA,SF Bay,Menlo Park,series-a,9/1/04,2004-09,2004-Q3,2004.0,4000000.0,56910
